education_node_id,textbook_id,deleted_at
333,13,
389,13,
383,13,
1437,13,
670,13,
390,13,
678,13,
535,13,
537,13,
579,13,
392,13,
395,13,
394,13,
1793,13,
1794,13,
396,13,
619,13,
1856,13,
1857,13,
1858,13,
1859,13,
1860,13,
679,14,
929,14,
1205,14,
2094,14,
2095,14,
2096,14,
2097,14,
2098,14,
2099,14,
2100,14,
2101,14,
550,14,
2102,14,
2103,14,
290,14,
2104,14,
552,14,
2273,15,
2274,15,
2275,15,
2276,15,
2277,15,
2278,15,
2279,15,
2280,15,
2281,15,
2282,15,
2283,15,
2070,15,
2284,15,
2285,15,
2286,15,
2287,15,
743,1,
1815,1,
2435,15,2026-03-20 18:45:38.289+00
2436,15,2026-03-20 18:45:40.829+00
2437,15,2026-03-20 18:45:42.119+00
2438,15,2026-03-20 18:45:43.325+00
2439,15,2026-03-20 18:45:45.923+00
2440,15,2026-03-20 18:45:48.488+00
1567,1,
1569,18,
292,18,
2624,18,
1139,18,
2625,18,
2626,18,
2627,18,
2628,18,
2629,18,
711,12,
